Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance,Inflight_wifi_service,Departure/Arrival_time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,On_board_service,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,satisfaction
0,0,28,1,0,1235,4,4,4,2,4,4,4,4,1,4,1,4,4,4,0
0,1,50,1,2,2326,2,2,2,2,3,1,5,4,4,4,4,2,4,5,1
0,1,33,1,2,484,4,4,4,4,4,4,4,4,3,5,5,4,5,4,1
0,1,57,0,0,657,3,4,3,4,2,3,2,2,3,4,2,5,3,2,0
1,1,48,1,2,2684,1,1,1,1,3,5,4,5,5,5,5,4,5,3,1
0,1,49,1,0,432,5,4,4,4,5,5,5,5,4,1,1,3,4,5,1
1,1,16,0,2,533,1,5,1,4,5,1,5,5,4,5,5,3,5,5,0
0,1,49,1,0,317,4,5,3,5,3,4,3,3,2,2,5,5,2,3,1
1,1,43,0,0,1084,3,5,3,3,2,4,5,1,1,3,1,5,1,3,0
1,1,23,0,0,2026,1,4,2,1,4,2,3,4,3,5,3,4,5,4,0
0,1,21,0,0,435,3,4,3,3,4,3,4,4,3,3,4,3,4,4,0
0,1,59,0,0,997,3,4,3,3,4,3,4,4,3,2,4,4,3,4,0
0,1,48,1,2,2114,5,5,5,5,2,4,5,4,4,4,4,4,4,4,1
0,1,57,1,2,802,1,1,1,1,2,4,5,4,4,4,4,4,4,3,1
1,0,36,1,1,337,1,2,2,3,4,2,4,4,2,5,4,2,4,4,0
1,1,52,1,2,2568,3,3,3,3,3,5,5,4,4,4,4,3,4,5,1
0,1,42,1,2,2154,1,3,1,1,5,5,4,5,5,5,5,5,5,4,1
0,1,18,0,2,591,1,5,1,5,3,1,3,3,3,3,5,4,4,3,0
0,1,55,1,2,3402,1,1,1,1,5,3,5,3,3,3,3,5,3,1,1
1,1,48,1,2,2847,1,1,1,1,2,4,4,4,4,4,4,4,4,3,1
0,1,53,1,2,2530,4,4,4,4,4,4,4,5,5,5,5,5,5,5,1
1,0,73,1,0,135,2,4,2,4,1,2,1,1,2,3,4,2,4,1,0
1,0,34,1,0,921,3,3,3,2,1,3,1,1,1,4,2,3,2,1,0
0,1,46,1,1,361,3,4,4,4,3,3,3,3,3,1,1,2,1,3,1
1,0,29,1,0,1144,2,2,2,3,1,2,1,1,2,3,3,4,3,1,0
1,1,33,0,0,765,5,4,5,4,3,5,3,3,3,4,5,5,5,3,1
1,1,15,0,2,1342,3,5,3,4,1,3,3,1,5,2,3,4,4,1,0
1,1,57,1,2,1072,1,1,1,1,2,4,4,5,5,5,5,3,5,5,1
1,1,41,1,2,2473,4,4,4,4,5,5,4,4,4,5,4,3,4,5,1
0,1,49,0,2,674,2,4,2,2,2,5,5,3,3,2,5,3,3,5,0
1,1,13,0,0,191,2,5,0,5,4,0,4,4,3,5,5,4,5,4,0
1,1,45,0,0,895,1,3,1,1,5,1,1,4,4,1,4,5,4,1,0
0,1,42,1,2,442,4,4,4,4,5,5,5,4,4,4,4,4,4,4,1
0,1,45,0,0,545,4,5,4,5,4,4,4,4,3,5,3,3,4,4,0
1,1,13,0,0,479,3,4,3,3,4,3,4,4,1,4,3,2,4,4,0
1,1,39,1,2,2218,5,5,5,5,2,5,5,4,4,5,4,4,4,3,1
0,0,17,1,0,261,2,1,2,4,1,2,1,1,3,2,4,3,3,1,0
0,1,43,0,0,1407,1,5,1,4,5,1,5,5,3,1,4,5,1,5,0
1,1,54,1,2,3502,1,1,1,1,5,4,4,4,4,4,4,4,4,3,1
1,1,60,0,0,746,2,5,2,1,2,4,4,3,3,2,3,5,3,5,0
0,1,51,1,2,2586,4,4,4,4,2,4,5,5,5,5,5,3,5,5,1
1,1,40,0,0,546,2,4,3,2,5,3,5,5,2,4,1,2,3,5,0
1,1,32,1,2,3693,2,2,2,2,2,2,2,2,3,5,4,3,5,2,1
0,1,60,1,2,402,3,3,3,3,3,4,5,5,5,5,5,4,5,4,1
0,1,47,0,0,678,2,4,1,3,3,1,3,3,5,3,4,4,4,3,0
1,1,24,1,2,1438,3,2,2,2,3,3,3,3,2,2,4,4,3,3,0
0,1,29,0,0,550,1,4,1,5,2,1,2,2,4,4,4,5,4,2,0
0,1,64,0,0,991,3,2,3,3,2,3,2,2,1,3,4,2,3,2,0
1,0,23,1,0,762,3,3,3,2,2,3,2,2,3,2,5,4,5,2,0
0,1,60,1,2,628,3,3,3,3,2,4,3,3,3,3,3,4,3,2,0
1,1,28,0,0,337,2,4,2,1,2,2,2,2,3,2,2,2,4,2,0
0,1,31,1,2,500,3,3,3,3,3,4,3,3,4,4,4,5,5,3,1
1,1,53,1,2,3032,5,5,5,5,3,5,5,5,5,5,5,4,5,3,1
1,1,56,1,0,359,4,4,4,4,3,4,3,4,4,4,4,4,4,3,0
1,1,39,1,2,2890,4,4,4,4,4,4,5,4,4,4,4,3,4,3,1
1,1,52,1,2,2236,2,3,3,3,3,4,4,2,2,2,2,4,2,3,0
0,1,50,1,1,548,2,5,2,5,3,2,3,3,3,5,4,2,2,3,1
0,1,18,1,2,2687,4,4,4,4,4,4,5,4,5,2,5,5,4,4,1
1,1,36,0,0,229,4,2,4,3,5,4,5,5,2,4,2,4,3,5,0
1,1,14,1,2,1089,5,5,5,5,5,5,5,5,4,3,4,4,4,5,1
0,1,26,0,0,331,4,2,4,3,3,4,3,3,3,1,4,2,3,3,1
1,1,65,0,0,627,0,4,1,1,3,5,5,3,3,1,4,5,3,4,1
0,1,34,1,2,3458,3,1,1,1,1,4,4,3,3,3,3,3,3,4,0
1,1,34,1,2,2508,2,3,3,3,2,1,2,2,2,2,2,4,2,3,0
0,1,17,0,1,642,2,4,2,2,2,2,2,2,5,4,4,3,5,2,0
1,0,16,1,0,581,1,1,1,3,2,1,2,2,2,2,3,4,3,2,0
1,1,36,1,2,650,3,3,3,3,4,5,5,4,4,4,4,3,4,3,1
0,1,38,1,0,849,1,1,1,1,1,1,1,1,2,4,4,2,4,1,0
1,0,49,1,0,251,4,1,4,3,4,4,4,4,2,5,3,4,2,4,0
0,1,40,0,1,1121,2,4,2,1,5,2,5,5,4,3,4,3,4,5,0
0,1,25,1,2,399,2,2,4,2,4,4,4,4,2,1,4,4,5,4,1
1,1,8,0,1,200,4,4,4,2,3,4,3,3,4,4,5,4,5,3,0
0,0,21,1,0,140,2,0,2,3,3,2,3,3,4,2,4,5,5,3,0
0,1,57,1,2,3611,5,5,5,5,3,4,5,5,5,5,5,4,5,5,1
0,1,55,1,2,825,3,3,3,3,4,4,4,5,5,5,5,3,5,3,1
0,1,54,1,0,370,3,4,4,4,3,3,3,3,2,4,2,4,2,3,0
0,0,21,1,0,396,3,0,3,2,2,3,2,2,5,2,4,4,5,2,0
0,1,10,0,0,1084,2,5,1,3,5,1,2,5,4,4,5,4,5,5,0
0,1,43,1,2,1085,5,5,5,5,3,5,4,2,2,2,2,3,2,4,1
1,1,41,1,2,3607,5,5,1,5,2,4,5,5,5,5,5,5,5,5,1
0,1,7,0,0,1154,3,4,3,2,3,3,3,3,5,2,5,3,5,3,0
0,1,37,1,2,3540,2,2,2,2,3,4,4,3,3,4,3,4,3,4,1
0,1,28,0,0,1121,1,3,1,3,5,1,5,5,3,1,4,3,3,5,0
0,1,47,1,2,907,4,3,4,4,2,5,4,4,4,4,4,4,4,3,1
0,1,54,0,0,680,2,4,2,3,4,2,4,4,4,5,4,5,5,4,0
1,1,12,0,0,89,4,4,4,3,4,4,4,4,3,3,3,2,4,4,0
1,1,41,0,0,361,3,4,3,4,1,3,1,1,5,2,5,4,4,1,0
1,1,20,0,0,644,2,4,1,4,1,1,1,1,3,4,2,3,1,1,0
1,1,54,1,2,3719,1,1,1,1,3,5,4,4,4,4,4,5,4,5,1
1,1,25,0,0,489,1,4,1,2,3,1,3,3,3,4,2,2,5,3,0
1,1,35,1,2,122,4,4,4,4,2,5,5,4,4,4,5,3,4,4,1
1,1,36,1,2,573,3,3,4,3,4,5,4,5,5,5,5,4,5,3,1
1,1,24,0,0,101,4,3,4,3,3,4,4,3,1,1,4,5,4,3,0
0,0,38,1,0,399,2,5,1,2,1,1,1,1,4,1,5,3,3,1,0
1,1,33,0,0,358,2,4,2,1,1,2,1,1,4,2,4,5,5,1,0
0,1,53,1,0,2400,1,3,3,3,2,1,2,2,1,1,1,4,2,2,0
1,1,51,1,2,2911,5,5,5,5,4,4,4,5,5,5,5,4,5,3,1
0,0,23,1,0,522,2,3,2,4,5,2,5,5,2,4,3,3,4,5,0
0,1,39,1,2,590,2,2,3,2,5,5,5,3,3,4,3,4,3,4,1
0,1,51,0,1,639,3,4,3,1,1,3,1,1,3,3,4,3,5,1,0
1,0,72,1,2,393,3,3,3,4,4,3,4,4,3,3,5,4,4,4,0
0,1,59,1,2,2427,4,5,5,5,3,4,4,4,4,4,4,3,4,1,0
0,0,24,1,0,583,4,0,4,2,4,4,4,4,3,5,5,5,5,4,1
1,1,45,0,0,849,4,4,4,3,2,2,5,4,4,4,4,2,4,5,0
0,0,38,1,0,637,2,0,2,3,3,2,3,3,2,4,5,2,3,3,0
0,0,29,1,2,758,5,5,5,4,4,5,1,4,4,5,4,3,4,4,1
0,1,42,1,0,563,3,4,2,4,3,3,3,3,3,3,4,5,3,3,1
0,1,67,0,0,495,3,3,4,4,4,4,4,4,4,5,2,4,4,4,0
1,1,54,0,0,2342,2,4,2,3,5,3,3,2,2,2,2,4,2,4,0
1,0,36,1,0,533,3,2,2,3,5,2,1,5,1,5,3,2,4,5,0
0,1,47,1,2,2848,3,3,3,3,5,4,3,5,5,5,5,3,5,5,1
1,1,23,1,1,337,3,1,1,1,3,3,3,3,4,1,4,4,4,3,0
0,1,33,1,2,406,1,1,1,1,4,4,4,4,3,5,4,3,5,4,1
1,0,16,1,0,240,1,0,1,1,4,1,4,4,5,1,5,2,5,4,0
0,1,42,1,2,2475,3,3,3,3,2,4,5,4,4,4,4,5,4,3,1
1,1,30,1,2,3029,5,5,3,5,4,4,4,4,1,2,5,5,1,4,1
0,1,22,1,2,986,1,1,1,1,3,3,3,3,3,5,5,5,5,3,1
1,1,22,1,2,2451,5,5,5,5,4,4,4,4,3,2,5,5,1,4,1
1,1,60,1,2,2005,3,2,3,3,5,4,5,4,4,4,4,3,4,3,1
1,1,58,1,2,2999,3,3,3,3,5,5,4,5,5,5,5,5,5,5,1
1,1,40,1,2,2686,2,2,4,2,3,5,4,4,4,4,4,3,4,5,1
0,1,21,1,2,1721,1,1,1,1,4,5,4,4,2,3,4,5,5,4,1
0,1,51,1,2,419,4,4,4,4,4,4,4,3,2,4,4,4,3,4,1
1,1,33,0,0,834,2,5,2,1,4,2,2,4,5,5,5,5,5,4,0
1,1,55,1,2,1535,3,3,3,3,4,3,2,3,3,3,3,4,3,1,0
0,0,39,1,2,481,1,1,1,4,3,1,3,3,4,4,4,3,5,3,0
1,1,48,1,2,1606,2,2,2,2,4,4,4,4,4,4,4,4,4,5,1
0,0,25,1,2,761,3,0,3,5,3,3,1,3,5,2,4,4,4,3,0
0,1,58,1,2,1262,3,3,3,3,2,5,5,4,4,4,4,3,4,3,1
0,1,33,1,2,1747,2,2,2,2,4,4,4,4,3,3,4,3,5,4,1
0,1,42,1,2,1259,2,2,2,2,4,5,5,5,5,5,5,3,5,3,1
0,1,30,1,2,612,4,4,4,4,4,4,4,4,4,4,5,5,5,4,1
0,1,48,1,2,1609,2,5,5,5,2,3,3,2,2,2,2,4,2,1,0
0,1,37,0,0,173,2,5,2,3,2,1,3,4,5,5,1,3,4,3,0
0,1,58,1,2,551,2,5,3,5,3,3,3,2,2,2,2,2,2,2,0
0,1,12,0,0,462,2,4,2,3,2,2,2,2,3,4,2,2,1,2,0
1,1,32,0,0,959,2,5,2,4,1,2,1,1,3,5,4,4,5,1,0
0,1,62,0,1,1773,0,1,0,3,5,0,5,5,4,1,2,2,2,5,1
0,1,48,1,2,1967,3,3,3,3,3,4,4,5,5,5,5,3,5,4,1
0,1,52,1,0,77,3,1,1,1,2,3,2,2,3,4,4,2,4,2,1
0,0,38,1,0,408,1,1,2,4,2,2,5,2,3,1,3,4,4,2,0
0,1,14,0,1,622,2,4,3,3,4,3,4,4,5,5,5,5,4,4,0
0,0,22,1,0,1284,2,2,2,4,2,2,2,2,4,4,4,3,4,2,0
1,1,51,1,2,1488,2,3,3,3,4,3,4,2,2,2,2,4,2,2,0
1,1,36,1,0,900,5,4,4,4,5,5,5,5,2,5,4,4,5,5,1
1,1,54,1,2,2586,4,5,4,4,4,4,4,3,3,4,4,4,4,4,1
1,0,27,1,2,255,2,2,2,1,5,2,5,5,5,5,5,3,5,5,0
1,1,56,1,2,1986,1,1,5,1,5,5,4,4,4,4,4,5,4,5,1
0,1,47,1,2,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,1
0,1,58,0,0,509,2,4,2,3,3,2,2,3,4,5,5,3,5,3,0
1,0,25,1,0,913,2,2,2,1,2,2,2,2,3,5,1,2,2,2,0
1,1,11,0,0,689,3,4,3,4,3,3,3,3,4,1,3,3,4,3,0
0,1,61,0,0,541,3,5,3,4,5,3,1,5,5,4,5,4,5,5,0
0,1,44,0,0,451,1,5,4,3,4,4,3,4,4,3,4,5,4,4,0
0,1,17,0,2,1597,2,4,2,3,2,2,2,2,1,2,2,4,3,2,0
0,1,72,1,2,2068,2,2,2,2,2,3,3,2,2,3,2,2,2,3,0
1,1,52,1,2,2310,1,1,1,1,4,1,5,5,5,5,5,4,5,3,1
0,1,30,1,2,1069,2,1,1,1,2,2,2,2,3,2,3,4,3,2,0
0,1,47,1,2,1514,5,5,5,5,5,4,4,5,5,5,5,5,5,5,1
0,1,69,0,0,431,1,4,1,1,4,1,4,4,3,3,5,3,5,4,0
1,1,29,1,2,2206,2,2,2,2,4,4,4,4,3,5,4,5,4,4,1
0,1,27,1,2,782,2,2,2,2,4,4,4,4,3,2,2,5,4,4,1
1,0,39,1,2,338,5,4,4,1,4,4,5,4,5,3,5,3,4,4,1
0,1,20,0,0,650,3,2,3,3,5,3,5,5,3,2,3,3,3,5,0
1,1,31,1,2,3331,2,2,2,2,5,4,5,5,4,5,5,5,4,5,1
0,1,52,1,2,1222,3,3,2,3,4,4,4,5,5,5,5,5,5,5,1
0,1,38,0,1,689,3,4,3,2,2,3,4,2,4,4,4,4,5,2,0
1,0,40,1,2,696,3,3,3,4,5,3,5,5,1,1,3,3,3,5,0
1,1,24,0,0,356,1,5,1,1,1,1,1,1,3,3,4,5,4,1,0
1,1,31,1,2,3025,3,4,3,3,5,5,5,5,5,2,5,4,4,5,1
0,1,55,0,2,522,4,5,4,3,2,4,4,2,2,4,2,3,2,3,0
0,1,45,1,2,1666,3,3,3,3,2,3,5,4,4,4,4,4,4,1,1
1,1,50,1,2,3142,5,3,5,5,2,1,1,5,5,5,4,2,5,2,1
0,1,27,1,2,1400,4,4,4,4,4,4,4,4,5,5,1,3,1,4,1
1,1,26,1,2,2174,1,1,1,1,4,5,4,4,2,4,3,2,5,4,1
0,1,42,1,0,447,4,5,5,5,3,4,3,3,2,3,2,4,2,3,0
1,0,32,1,2,148,4,4,4,3,3,4,5,3,3,3,5,3,5,3,0
0,0,23,1,0,67,0,0,0,2,2,0,2,2,3,2,5,3,4,2,1
1,1,11,0,0,795,1,5,1,4,3,1,3,3,5,2,5,3,4,3,0
0,1,52,1,2,3298,2,2,2,2,4,5,4,4,4,4,4,3,4,4,1
1,1,60,0,0,631,4,4,4,1,2,4,2,1,1,4,1,5,1,2,0
1,0,39,1,2,226,2,2,2,4,2,2,2,2,5,4,5,3,5,2,0
1,1,49,1,0,1121,2,2,2,2,5,3,4,2,2,2,2,4,2,1,0
1,0,25,1,2,391,4,2,4,3,5,4,5,5,3,5,3,4,4,5,0
0,1,35,1,2,3151,3,3,3,3,3,3,3,2,4,4,3,3,1,3,0
0,0,36,1,2,213,3,3,3,3,5,3,5,5,3,2,4,5,4,5,0
0,1,47,1,2,439,4,4,5,4,5,5,5,4,4,4,4,4,4,4,1
1,1,29,1,0,515,3,2,1,2,3,3,3,3,2,5,3,4,3,3,0
1,1,26,0,0,854,3,4,3,4,2,3,2,2,4,2,5,5,5,2,0
0,1,47,0,0,486,3,0,3,3,5,3,5,5,3,4,5,3,5,5,0
0,1,48,1,2,1907,1,1,1,1,3,4,4,5,5,5,5,5,5,4,1
0,0,45,1,2,356,2,2,2,4,5,2,5,5,4,2,4,3,5,5,0
1,1,22,0,0,594,0,4,0,3,2,0,2,2,4,2,3,3,4,2,1
1,1,40,1,2,1809,3,3,3,3,3,4,4,5,5,5,5,5,5,3,1
1,1,39,1,2,1726,4,4,4,4,2,4,5,4,4,5,4,3,4,5,1
1,0,21,1,0,580,4,0,4,3,3,4,3,3,4,5,5,3,4,3,1
1,0,25,1,1,229,0,0,0,1,4,0,4,4,5,3,4,4,2,4,1
0,0,25,1,2,957,3,5,3,1,1,3,1,1,4,5,4,4,4,1,0
1,1,43,1,2,3052,3,4,4,4,3,3,3,3,3,3,3,2,3,1,0
0,1,46,1,2,3098,1,1,4,1,3,5,5,3,3,4,3,4,3,4,1
1,1,31,1,2,2918,4,4,4,4,5,4,5,5,5,2,5,3,5,5,1
0,1,61,0,0,569,3,5,3,2,4,3,4,4,3,5,5,5,5,4,0
1,0,26,1,0,773,4,4,4,3,5,4,5,5,3,5,4,4,3,5,0
1,1,13,0,0,89,2,4,2,3,4,2,4,4,4,4,4,4,4,4,0
0,1,53,0,2,689,2,4,2,3,5,3,3,5,5,2,3,3,5,3,0
0,1,39,1,2,3411,1,1,1,1,5,4,5,4,4,4,4,4,4,5,1
1,1,19,0,0,2282,2,2,2,3,5,2,5,5,3,3,3,4,2,5,0
0,1,54,0,2,2519,3,3,3,3,3,4,4,1,1,3,1,3,1,4,0
0,1,54,1,2,1624,3,3,3,3,5,3,4,3,3,3,3,5,3,5,1
1,0,28,1,0,779,3,3,3,3,2,3,2,2,3,4,2,4,3,2,0
0,1,32,0,2,397,3,4,3,1,4,3,4,4,4,2,5,4,5,4,0
0,1,26,1,2,925,2,2,2,2,2,2,2,2,2,5,1,4,1,2,0
1,0,39,1,2,959,4,4,4,3,4,4,4,4,2,5,5,3,3,4,1
1,0,25,1,2,228,3,0,3,1,3,3,3,3,4,2,5,3,5,3,0
0,1,28,1,2,2379,5,5,5,5,4,4,4,4,3,2,5,5,4,4,1
0,1,38,1,2,2928,4,4,4,4,4,4,5,5,5,5,5,3,5,5,1
1,1,39,1,2,2454,2,2,2,2,2,5,5,4,4,4,4,4,4,3,1
1,1,40,1,0,459,1,5,4,5,1,1,1,1,4,4,4,3,3,1,0
0,1,10,0,0,1235,3,5,3,2,1,3,1,1,5,2,4,5,4,1,0
0,1,57,1,2,1547,2,2,2,2,5,5,4,2,2,2,2,3,2,4,1
0,1,29,0,0,2611,3,2,3,4,3,3,3,1,3,3,3,3,2,3,0
0,1,60,1,2,507,2,2,2,2,5,5,4,2,2,2,2,4,2,5,1
1,1,17,0,0,587,2,4,2,1,2,2,1,2,3,5,4,3,4,2,0
0,1,37,1,0,332,3,5,5,5,3,5,3,3,1,4,5,2,2,3,1
0,1,48,1,2,3447,0,0,0,3,2,4,5,5,5,5,2,4,5,3,1
0,1,47,1,2,3624,4,4,4,4,5,5,5,4,4,4,4,4,4,4,1
0,1,40,1,2,1276,1,1,5,1,4,5,5,5,5,5,5,4,5,3,1
1,0,27,1,0,259,2,5,3,4,2,3,2,2,1,1,5,4,3,2,0
1,1,11,0,1,1050,3,4,3,2,3,3,3,3,5,2,4,5,4,3,0
1,1,60,0,0,1674,3,4,3,4,4,4,3,5,5,3,5,2,5,4,0
0,1,80,1,0,413,1,2,2,2,1,1,1,1,3,4,2,4,2,1,0
0,1,18,0,0,484,3,2,3,3,2,3,4,2,1,5,3,2,2,2,0
1,1,18,0,0,134,3,4,3,1,2,3,2,2,4,3,5,5,4,2,0
1,1,67,0,0,667,2,4,2,3,4,5,5,1,1,2,1,4,1,5,0
1,1,59,1,0,640,3,5,5,5,5,3,4,3,3,3,3,3,3,3,0
1,0,30,1,0,825,2,2,2,4,3,2,3,3,1,5,4,2,4,3,0
1,1,33,1,2,3456,1,2,2,2,5,3,3,1,1,1,1,2,1,4,0
0,1,41,0,2,569,3,5,3,3,2,5,4,5,5,3,5,4,5,5,0
0,1,52,0,1,731,2,1,2,2,1,2,4,1,1,4,2,4,3,1,0
0,1,33,1,0,328,4,4,1,4,4,4,4,4,2,1,3,4,3,4,0
1,0,47,1,0,723,5,5,5,3,5,5,5,5,3,2,2,5,4,5,1
1,0,27,1,2,405,0,0,0,3,2,0,2,2,3,5,4,3,4,2,1
1,1,61,0,2,2715,3,4,3,4,3,4,5,4,4,3,4,4,4,5,0
0,1,53,1,2,622,1,1,1,1,4,4,4,4,4,4,4,3,4,5,1
0,1,15,0,0,155,2,5,2,5,1,2,1,1,5,1,3,5,4,1,0
1,1,78,1,1,425,2,3,3,3,1,3,3,2,2,2,2,5,2,3,1
1,1,58,0,0,977,3,4,3,3,3,5,5,2,2,3,3,3,2,4,0
1,0,30,1,0,641,3,0,3,3,1,3,5,1,4,5,1,3,4,1,0
1,1,37,0,0,528,3,5,5,2,5,5,5,5,4,1,1,4,3,5,0
1,1,51,0,0,216,4,4,4,3,5,5,4,5,5,4,5,3,5,4,1
0,1,55,0,2,853,4,4,4,4,2,4,5,4,4,4,4,5,4,3,1
0,1,33,1,2,610,5,5,5,5,1,2,1,1,3,5,5,4,5,1,1
1,1,14,0,2,417,2,5,2,1,3,2,2,3,1,5,1,4,1,3,0
1,1,30,1,2,2438,0,1,1,1,2,2,2,2,5,3,5,3,4,2,1
0,1,62,0,0,420,0,3,0,1,1,0,1,1,1,3,5,5,2,1,1
1,0,15,1,0,349,4,0,4,2,2,4,2,2,5,5,5,4,3,2,1
0,0,23,1,2,337,5,3,5,2,5,5,5,5,3,2,5,5,5,5,1
0,1,9,0,0,409,2,5,5,5,1,5,2,1,1,1,5,4,3,1,0
1,1,64,0,0,280,1,4,1,2,2,5,4,3,3,1,5,4,3,4,0
1,1,49,1,2,2265,0,4,0,5,5,4,4,3,3,3,3,3,3,4,1
1,1,51,0,0,1165,1,5,2,4,2,3,5,5,5,2,5,4,5,3,0
0,0,40,1,0,946,4,4,4,5,3,4,3,3,1,2,2,4,2,3,0
1,1,23,0,0,641,4,5,4,2,2,4,2,2,3,3,4,4,4,2,0
0,1,39,1,2,224,1,1,1,1,4,5,4,5,5,5,5,3,5,5,1
1,0,42,1,2,214,4,4,4,5,2,4,2,2,4,2,5,3,5,2,1
0,1,78,1,2,370,3,2,5,2,4,3,2,3,3,3,3,3,3,4,0
1,1,33,0,0,1180,3,5,4,3,5,4,5,5,3,5,4,3,4,5,0
1,0,21,1,0,585,5,2,5,2,4,5,4,4,5,5,4,3,4,4,1
1,1,28,1,0,872,3,3,3,3,3,3,3,3,2,4,4,2,3,3,0
0,1,71,1,0,402,3,3,2,3,3,3,3,4,3,3,4,3,3,3,0
1,1,32,1,2,309,2,2,2,2,4,4,4,4,1,1,2,5,4,4,1
1,0,72,1,0,526,3,2,3,4,2,3,2,2,2,2,4,2,4,2,0
0,1,47,1,2,1182,2,2,2,2,4,5,4,5,5,5,5,4,5,4,1
1,1,36,0,0,1164,5,4,4,3,1,4,1,1,4,2,3,3,4,1,1
0,1,41,0,1,404,3,4,3,3,3,3,2,3,4,2,5,2,3,3,0
0,1,54,0,1,592,3,1,3,1,1,3,1,1,3,4,1,3,1,1,0
0,1,31,1,2,2480,5,5,5,5,4,4,4,4,3,5,5,3,5,4,1
1,0,38,1,0,297,2,4,2,2,4,2,4,4,3,3,5,4,4,4,0
1,1,49,0,0,802,2,4,2,4,2,3,4,5,5,2,5,3,5,1,0
0,1,25,1,2,2756,2,1,1,1,2,1,2,2,4,4,3,4,3,2,0
1,1,58,1,2,587,4,4,5,4,3,4,5,4,4,4,4,4,4,5,1
0,1,25,0,0,562,3,5,2,1,5,2,5,5,5,3,2,3,5,5,0
1,0,11,1,0,804,3,3,3,1,5,3,2,5,4,4,4,5,4,5,0
0,1,38,0,1,834,4,4,3,3,4,3,4,4,5,1,3,2,1,4,0
1,1,56,1,2,2480,2,2,4,2,5,5,5,4,4,4,5,3,4,4,1
1,1,27,1,2,1524,2,2,2,2,5,5,5,5,3,3,4,5,4,5,1
0,1,39,1,2,1090,1,1,1,1,5,4,4,4,4,4,4,5,4,5,1
0,1,67,0,0,287,3,5,3,1,5,3,5,5,4,4,4,4,4,5,0
1,1,48,1,2,704,2,4,2,2,4,4,4,3,3,3,3,4,3,5,1
0,1,23,1,2,1211,2,2,2,2,4,4,4,4,2,3,5,5,1,4,1
1,1,43,1,2,1846,5,5,5,5,5,3,4,5,5,5,5,4,5,3,1
0,1,36,0,1,2586,2,4,2,5,2,3,3,3,4,4,1,3,3,3,0
0,1,53,0,0,2125,2,1,2,3,4,2,4,4,3,4,4,4,3,4,0
0,1,50,1,2,3003,0,0,0,2,5,5,5,3,3,3,3,3,3,4,1
1,1,47,1,2,369,1,1,1,1,4,4,5,4,4,4,4,3,4,4,1
0,1,58,0,0,403,3,5,3,2,3,3,3,3,3,3,5,4,4,3,0
1,1,46,0,0,628,2,4,2,3,2,5,5,4,2,5,5,5,4,5,0
0,0,40,1,0,141,1,0,1,3,2,1,2,2,3,5,3,2,2,2,0
0,1,41,0,0,371,1,2,1,4,4,1,1,4,3,2,2,4,3,4,0
0,0,23,1,2,1075,5,0,5,5,5,5,3,5,3,4,2,3,4,5,1
1,1,32,0,0,1235,3,5,3,2,4,3,4,4,4,4,4,4,5,4,0
0,1,51,1,2,2748,2,2,3,2,2,5,4,5,5,5,5,5,5,4,1
0,1,57,1,2,3463,1,1,1,1,2,4,4,4,4,4,4,4,4,3,1
1,1,56,1,2,2984,4,4,4,4,2,4,5,5,5,5,4,4,5,4,1
1,1,15,0,0,1145,2,1,2,3,1,2,1,1,2,1,3,2,3,1,0
1,1,53,1,2,2187,4,4,4,4,4,4,4,5,5,5,5,4,5,4,1
0,1,19,1,2,3279,4,4,4,4,4,4,4,4,5,4,4,5,5,4,1
1,1,67,0,0,404,1,5,1,3,5,5,5,1,1,1,1,3,1,3,0
1,1,31,1,2,1922,2,1,3,1,2,2,2,2,2,3,4,3,3,2,0
1,1,36,1,2,2078,4,1,4,4,4,4,4,5,5,5,5,5,5,4,1
0,0,36,1,2,735,3,3,3,3,3,3,3,3,3,3,5,3,5,3,0
1,0,26,1,2,2419,5,5,5,4,2,5,2,2,4,2,3,4,5,2,1
0,1,49,1,0,2077,1,4,4,4,1,1,1,1,2,3,3,4,2,1,0
0,0,32,1,2,925,3,3,3,1,1,3,1,1,4,4,5,5,4,1,0
1,1,31,1,2,937,2,2,2,2,5,5,5,5,1,2,3,4,5,5,1
0,1,57,1,2,590,3,3,5,3,2,5,4,5,5,5,5,4,5,3,1
1,1,45,1,0,1670,4,2,2,2,3,4,4,4,4,4,4,4,4,4,0
0,1,47,1,2,1276,4,4,4,4,3,5,4,5,5,5,5,3,5,3,1
0,1,34,0,0,972,2,4,2,2,1,2,1,1,3,4,4,3,4,1,0
0,1,39,1,2,944,3,3,3,3,4,4,4,2,2,5,5,4,2,4,1
1,1,40,1,2,283,4,4,4,4,2,5,4,4,4,4,4,4,4,4,1
1,0,43,1,0,106,2,0,2,3,4,2,4,4,3,2,5,2,3,4,0
1,0,30,1,0,961,2,2,2,1,3,2,3,3,4,4,3,3,5,3,0
0,1,40,0,0,748,2,2,2,4,1,2,1,1,2,2,4,3,4,1,0
0,0,23,1,0,2288,1,1,1,1,1,5,5,4,2,3,4,5,2,5,0
1,1,60,1,2,2751,5,5,1,5,2,4,4,4,4,4,4,5,4,4,1
